refcode,component_refcode,component_index,smiles,HBD,HBA,logP,MW
ABIHOM,ABIHOM_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABIHOM,ABIHOM_2,2,CO,1,1,-0.3915,32.026214748
ABIHOM,ABIHOM_3,3,Oc1cc(O)cc(c1)C(=O)[O-],2,4,-0.5387000000000002,153.01933221991
ABIHOM,ABIHOM_4,4,O,0,0,-0.8247,18.010564684
ABIPIN,ABIPIN_1,1,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,1,2,2.01,273.08234972
ABIPIN,ABIPIN_2,2,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,1,2,2.01,273.08234972
ABIREM,ABIREM_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,8,3.1390400000000005,437.163393976
ABIRIQ,ABIRIQ_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,8,3.1390400000000005,437.163393976
ABIRIQ,ABIRIQ_2,2,CN1N=C2C=C(C=CC2=C1C)N(C)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,8,3.1390400000000005,437.163393976
ABIRIQ,ABIRIQ_3,3,C1CCOC1,0,1,0.7968,72.057514876
ABIRIQ,ABIRIQ_4,4,C1CCOC1,0,1,0.7968,72.057514876
ABIROW,ABIROW_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABIROW,ABIROW_2,2,Oc1cccc(C(=O)[O-])c1O,2,4,-0.5387000000000002,153.01933221991
ABIRUC,ABIRUC_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABIRUC,ABIRUC_2,2,Oc1ccc(cc1)C(=O)[O-],1,3,-0.24430000000000018,137.02441759991
ABIRUC,ABIRUC_3,3,O,0,0,-0.8247,18.010564684
ABISAJ,ABISAJ_1,1,Oc1ccccc1C(=O)[O-],1,3,-0.24429999999999996,137.02441759991
ABISAJ,ABISAJ_2,2,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISAJ,ABISAJ_3,3,CO,1,1,-0.3915,32.026214748
ABISEN,ABISEN_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISEN,ABISEN_2,2,Oc1ccc(O)c(c1)C(=O)[O-],2,4,-0.5387000000000002,153.01933221991
ABISEN,ABISEN_3,3,O,0,0,-0.8247,18.010564684
ABISEN,ABISEN_4,4,O,0,0,-0.8247,18.010564684
ABISEN,ABISEN_5,5,O,0,0,-0.8247,18.010564684
ABISEN,ABISEN_6,6,O,0,0,-0.8247,18.010564684
ABISIR,ABISIR_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISIR,ABISIR_2,2,Oc1cccc(O)c1C(=O)[O-],2,4,-0.5387000000000002,153.01933221991
ABISOX,ABISOX_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISOX,ABISOX_2,2,Oc1ccc(C=CC(=O)[O-])cc1O,2,4,-0.13910000000000022,179.03498228391
ABISOX,ABISOX_3,3,CC#N,0,1,0.52988,41.026549096
ABISUD,ABISUD_1,1,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABISUD,ABISUD_2,2,Oc1ccc(c(O)c1)C(=O)[O-],2,4,-0.5387000000000002,153.01933221991
ABISUD,ABISUD_3,3,CCO,1,1,-0.0014000000000000123,46.041864812
ABITAK,ABITAK_1,1,CCOC(=O)c1cc(O)c(O)c(O)c1,3,5,0.9800999999999997,198.05282342
ABITAK,ABITAK_2,2,CC1=NC=C(N1CCO)N(=O)=O,1,5,0.09201999999999982,171.064391148
ABITEO,ABITEO_1,1,Oc1ccccc1C(=O)[O-],1,3,-0.24429999999999996,137.02441759991
ABITEO,ABITEO_2,2,COc1ccc2nccc(C(O)C3CC4CC[NH+]3CC4C=C)c2c1,2,3,1.7560999999999996,325.19105446009
ABITEO,ABITEO_3,3,Oc1ccccc1C(=O)[O-],1,3,-0.24429999999999996,137.02441759991
ABITEO,ABITEO_4,4,COc1ccc2nccc(C(O)C3CC4CC[NH+]3CC4C=C)c2c1,2,3,1.7560999999999996,325.19105446009
ABOQUF,ABOQUF_1,1,Oc1ccc(O)cc1,2,2,1.0977999999999999,110.036779432
ABOQUF,ABOQUF_2,2,NC(=O)N1c2ccccc2C=Cc2ccccc12,1,1,3.3872000000000018,236.094963004
ABORAM,ABORAM_1,1,NC(=O)CN1CCCC1=O,1,2,-0.9059000000000004,142.07422756
ABORAM,ABORAM_2,2,Oc1ccc(O)cc1,2,2,1.0977999999999999,110.036779432
ABULEQ,ABULEQ_1,1,NC(=O)c1cccnc1,1,2,0.18050000000000016,122.048012812
ABULEQ,ABULEQ_2,2,OC(=O)c1cc2ccccc2cc1O,2,2,2.2436000000000003,188.047344116
ABULEQ02,ABULEQ02_1,1,NC(=O)c1cccnc1,1,2,0.18050000000000016,122.048012812
ABULEQ02,ABULEQ02_2,2,OC(=O)c1cc2ccccc2cc1O,2,2,2.2436000000000003,188.047344116
ABULIU,ABULIU_1,1,Nc1ccc(cc1)C(O)=O,2,2,0.9670000000000001,137.047678464
ABULIU,ABULIU_2,2,NC(=O)c1cccnc1,1,2,0.18050000000000016,122.048012812
ABULIU,ABULIU_3,3,O,0,0,-0.8247,18.010564684
ACABUD,ACABUD_1,1,Oc1ccc(F)cc1C(=O)[O-],1,3,-0.10520000000000013,155.01499578791
ACABUD,ACABUD_2,2,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ACACAK,ACACAK_1,1,Oc1ccc(I)cc1C(=O)[O-],1,3,0.3602999999999999,262.92106556791
ACACAK,ACACAK_2,2,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ACACEO,ACACEO_1,1,Oc1ccc(I)cc1C(=O)[O-],1,3,0.3602999999999999,262.92106556791
ACACEO,ACACEO_2,2,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ACACEO,ACACEO_3,3,c1ccncc1,0,1,1.0816,79.04219916
ACACIS,ACACIS_1,1,COc1ccc(O)c(c1)C(=O)[O-],1,4,-0.23570000000000008,167.03498228391
ACACIS,ACACIS_2,2,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ACACIS,ACACIS_3,3,O,0,0,-0.8247,18.010564684
ACACOY,ACACOY_1,1,Cc1ccc(O)c(c1)C(=O)[O-],1,3,0.06411999999999979,151.04006766391
ACACOY,ACACOY_2,2,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ACACOY,ACACOY_3,3,Cc1ccc(O)c(c1)C(=O)[O-],1,3,0.06411999999999979,151.04006766391
ACACOY,ACACOY_4,4,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ACACUE,ACACUE_1,1,Oc1ccc(cc1C(=O)[O-])N(=O)=O,1,5,-0.33610000000000007,182.00949580791
ACACUE,ACACUE_2,2,Nc1cc[nH+]cc1,1,1,0.08289999999999981,95.06037464408999
ACCHOB11,ACCHOB11_1,1,[Br-],0,0,-2.996,78.91888567991
ACCHOB11,ACCHOB11_2,2,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACCYGB10,ACCYGB10_1,1,NC1=NC2=C(N=CN2C2OC(COP(=O)([O-])OC3C(O)C(OC3CO)N3C=C(I)C(=NC3=O)N)C(O)C2O)C(=O)N1,7,19,-4.114499999999995,713.02232638591
ACCYGB10,ACCYGB10_2,2,NC1=NC2=C(N=CN2C2OC(COP(=O)([O-])OC3C(O)C(OC3CO)N3C=C(I)C(=NC3=O)N)C(O)C2O)C(=O)N1,7,19,-4.114499999999995,713.02232638591
