identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
LCYSTI13,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI14,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI15,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI16,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI17,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI18,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTI19,-4.911399999999999,240.023848864,2,6,[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
LCYSTN,-5.446799999999998,242.039498928,4,6,[NH3+]C(CS)C(=O)[O-].[NH3+]C(CS)C(=O)[O-]
LCYSTN04,-5.446799999999998,242.039498928,4,6,[NH3+]C(CS)C(=O)[O-].[NH3+]C(CS)C(=O)[O-]
LCYSTN12,-2.6108999999999996,122.027574496,2,3,[NH3+]C(CS)C(=O)[O-].[H]
LCYSTN21,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN22,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN23,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN24,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN25,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN26,-5.446799999999998,242.039498928,4,6,[NH3+]C(CS)C(=O)[O-].[NH3+]C(CS)C(=O)[O-]
LCYSTN27,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN28,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN29,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN30,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN31,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN32,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN33,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN34,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN35,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN36,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN37,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN38,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LCYSTN39,-2.7233999999999994,121.019749464,2,3,[NH3+]C(CS)C(=O)[O-]
LDOPAS03,-1.999300000000001,197.068807832,3,4,[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)[O-]
LDOPAS10,-1.999300000000001,197.068807832,3,4,[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)[O-]
LDOPAS11,-1.999300000000001,197.068807832,3,4,[NH3+]C(Cc1ccc(O)c(O)c1)C(=O)[O-]
LECCIF,0.835399999999999,286.027582984,2,3,ClC(Cl)C(=O)[O-].[NH3+]c1cccc2cccc(N)c12
LEDVOH,-1.9750999999999987,346.10846460000005,4,8,OB(O)c1cccc(c1)C(O)=O.CN1C(=O)N(C)C2=C(NC=N2)C1=O
LEDWUO,-3.9305999999999983,277.15064619209,4,4,CCCC1=NC(=C(N1)C(=O)[O-])C(O)=O.[NH3+]CC[NH3+].O
LEFHEL,-6.346600000000001,275.07272106009,4,2,[I-].[NH3+]CCNCCNCC[NH3+]
LEFHIP,-3.156499999999995,311.20776714409,3,5,[NH3+]CCN1CCN(CC[NH3+])CC1.Oc1ccccc1C(=O)[O-]
LEHMIV,2.6585199999999993,227.105862036,2,3,Oc1cccc2cccnc12.CC1=CN=CN1
LEJGAM,-1.134699999999996,293.22235458809,2,2,CC(C)Cc1ccc(cc1)C(C)C(=O)[O-].[NH2+]1CC[NH2+]CC1
LEJGEQ,0.15760000000000246,443.17991839609005,2,3,CC1=C(CC(=O)[O-])c2cc(F)ccc2C1=Cc1ccc(cc1)S(C)=O.[NH2+]1CC[NH2+]CC1
LEJGIU,-0.28057999999999694,444.1684604440901,2,5,COc1ccc2N(C(=C(CC(=O)[O-])c2c1)C)C(=O)c1ccc(Cl)cc1.[NH2+]1CC[NH2+]CC1
LEJRIB,-1.2034999999999991,305.064785072,3,6,OC(=O)c1nccnc1C(=O)[O-].[NH3+]c1ccc(cc1)C(O)=O
LEJZEG,-1.9703999999999973,270.09068879209,2,3,O=C1[N-]S(=O)(=O)c2ccccc12.[NH2+]1CC[NH2+]CC1
LEJZEG01,-1.9703999999999955,270.09068879209,2,3,[NH2+]1CC[NH2+]CC1.O=C1[N-]S(=O)(=O)c2ccccc12
LEKLEW,-3.3964999999999987,245.009100036,1,5,Oc1cccc2ccc[nH+]c12.O=[Cl](=O)(=O)[O-]
LEKRIC,-3.0817999999999954,250.152871804,3,5,CC(=O)NC(CO)C(=O)[O-].C[N+](C)(C)CCO
LEKROI,-3.772399999999996,253.116151948,4,6,OC(C(O)C(=O)[O-])C(O)=O.C[N+](C)(C)CCO
LEKROI01,-3.772399999999996,253.116151948,4,6,OC(C(O)C(=O)[O-])C(O)=O.C[N+](C)(C)CCO
LEKRUO,-0.8313999999999968,310.18925731199994,2,4,C[N+](C)(C)CCO.CC(=O)NC(Cc1ccccc1)C(=O)[O-]
LEKSAV,-2.216599999999994,372.226036744,2,6,O=C([O-])c1ccccc1C(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO
LENBOZ,-1.4318999999999975,476.17072735999994,3,8,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(nc12)N1CC[NH2+]CC1.Oc1cccc(c1)C(=O)[O-].O
LENGAP02,-3.6042999999999967,248.173607248,2,4,[NH3+]C(C(C)C)C(=O)[O-].[NH3+]C(CC(C)C)C(=O)[O-]
LENGIX,-3.6042999999999967,248.173607248,2,4,[NH3+]C(C(C)CC)C(=O)[O-].[NH3+]C(C(C)C)C(=O)[O-]
LENKEV,2.6464000000000008,404.0806811759999,2,5,CCc1[nH+]c(N)nc(N)c1c1ccc(Cl)cc1.Clc1cccc(c1)C(=O)[O-]
LEPNEB,-17.322399999999995,464.17831125381986,0,8,C1N2CN3CN1CN(C2)C3.C1N2CN3CN1CN(C2)C3.[OH2][Li+]([OH2])([OH2])[OH2].[Cl-].[Cl-].[Cl-]
LEPNIF,-10.310600000000004,346.06893267,0,4,[OH2][Li+]([OH2])([OH2])[OH2].C1N2CN3CN1CN(C2)C3.[I-]
LEQVOS,1.7524000000000002,324.02797690799997,1,4,Clc1cc(cc(Cl)c1[O-])N(=O)=O.C[N+](C)(C)CC(O)=O
LESQOR,2.7694400000000003,445.10560432799997,3,8,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1.OC(=O)c1ccccc1N(=O)=O
LETBOF,3.3148000000000026,401.06191989200005,1,3,CS(=O)(=O)[O-].C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc12
LETBUL,0.8810999999999996,457.1058928799999,2,3,C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc12.O.OC(=O)C=CC(=O)[O-].O
LETGIA,-3.2202,122.04399005199998,3,3,O=N(=O)[O-].NC(N)=[NH2+]
LETGIA01,-3.2202,122.04399005199998,3,3,O=N(=O)[O-].NC(N)=[NH2+]
LETGIA02,-3.2202,122.04399005199998,3,3,O=N(=O)[O-].NC(N)=[NH2+]
LETGIA03,-3.2202,122.043990052,3,3,NC(N)=[NH2+].O=N(=O)[O-]
LETGIA04,-3.2202,122.043990052,3,3,NC(N)=[NH2+].O=N(=O)[O-]
LETGIA05,-3.2202,122.04399005199998,3,3,O=N(=O)[O-].NC(N)=[NH2+]
LETGIA07,-3.2202,122.043990052,3,3,NC(N)=[NH2+].O=N(=O)[O-]
LETGIA08,-3.2202,122.043990052,3,3,NC(N)=[NH2+].O=N(=O)[O-]
