identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
PEKFAN02,4.029500000000003,296.177630008,0,2,CC12CCC3C(CC(=C)C4=CC(=O)C=CC34C)C1CCC2=O
PEKQOM,4.8249400000000024,705.264607068,6,11,COCC(=O)NCC=Cc1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1.OC(=O)CCC(O)=O.OC(=O)CCC(O)=O
PEKROO,-0.3398000000000005,277.058637072,3,5,O=C([O-])c1c[nH+]ccc1.OC(=O)c1cc(O)ccc1O
PEKRUU,0.9765,276.074621484,4,5,OC(=O)c1cc(O)ccc1O.NC(=O)c1cccnc1
PEKRUU01,0.9765000000000001,276.074621484,4,5,NC(=O)c1cccnc1.OC(=O)c1cc(O)ccc1O
PEKSEF,2.532400000000001,428.12196559999995,3,9,COC(=O)c1cccnc1.OC(=O)c1cc(O)ccc1O.COC(=O)c1cccnc1
PEKXAI,-2.9667999999999957,336.14336974,3,5,O=C1NC(=O)C=C(N1)C(=O)[O-].O.C[NH+]1CCCC1c1cccnc1
PELLAX,41.869899999999916,3464.6597586640014,24,26,CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CCC1C(O)C2C3CCC(C(C)CCC(O)=O)C3(C)CCC2C2(C)CCC(O)CC12.CC(C)OC(C)=O
PEMREE,5.053700000000005,363.31372955200004,0,2,CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])c1ccccc1
PEMRIJ,10.199219999999995,976.5598043120001,8,8,Cc1c(Cl)cccc1Cl.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
PEMZAI01,4.144680000000004,461.314123476,4,5,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.C=CC#N
PEMZAI02,4.144680000000004,461.314123476,4,5,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.C=CC#N
PENBAL01,8.006400000000012,1016.680007752,8,12,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(=O)CC(C)=O.CC(=O)CC(C)=O
PENDAM,2.553,324.206244768,6,6,Nc1ccc(N)cc1.Nc1ccc(N)cc1.Nc1ccc(N)cc1
PENDAM02,2.553,324.206244768,6,6,Nc1ccc(N)cc1.Nc1ccc(N)cc1.Nc1ccc(N)cc1
PENDAM03,2.553,324.206244768,6,6,Nc1ccc(N)cc1.Nc1ccc(N)cc1.Nc1ccc(N)cc1
PENDAM04,2.553,324.206244768,6,6,Nc1ccc(N)cc1.Nc1ccc(N)cc1.Nc1ccc(N)cc1
PEPCIT10,2.131420000000003,620.3097663679998,4,6,CCC(=O)N(C1CC[NH+](CC1)CCc1ccccc1)c1ccccc1.OC(=O)CC(O)(CC(O)=O)C(=O)[O-].Cc1ccccc1
PEPCIT11,2.131420000000003,620.3097663679998,4,6,CCC(=O)N(C1CC[NH+](CC1)CCc1ccccc1)c1ccccc1.OC(=O)CC(O)(CC(O)=O)C(=O)[O-].Cc1ccccc1
PEPHCL,-2.6942999999999966,201.092041812,2,1,[Cl-].C[NH2+]C(C)C(O)c1ccccc1
PEPMOM,-5.533599999999997,169.08189793609,3,3,[NH3+]CC[NH3+].OC(=O)C(=O)[O-].O
PEPMOM01,-5.533599999999999,169.08189793609,3,3,OC(=O)C(=O)[O-].[NH3+]CC[NH3+].O
PEPVEO,11.201699999999992,918.591073596,3,7,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)c1ccc(cc1)N(C)C.CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)c1ccc(cc1)N(C)C.CCCO
PEPVOY,5.428200000000005,682.398187448,6,6,CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C.CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C.NC=O.NC=O
PEQBES,6.513000000000006,406.319543204,2,3,CCCCCCCCCCCCCCCCCC(O)=O.NC(=O)c1cccnc1
PEQKIG,2.0002999999999997,319.15722891200005,1,2,O=C([O-])c1ccccc1.[NH2+](Cc1ccccc1)Cc1ccccc1
